"season","mnth","day","hr","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","bikers"
1,"Jan",2,"7",0,0,0,"cloudy/misty",0.4,0.4091,0.76,0.194,1
1,"Jan",2,"8",0,0,0,"light rain/snow",0.4,0.4091,0.71,0.2239,8
1,"Jan",2,"9",0,0,0,"cloudy/misty",0.38,0.3939,0.76,0.2239,20
1,"Jan",2,"10",0,0,0,"cloudy/misty",0.36,0.3485,0.81,0.2239,53
1,"Jan",2,"11",0,0,0,"cloudy/misty",0.36,0.3333,0.71,0.2537,70
1,"Jan",2,"12",0,0,0,"cloudy/misty",0.36,0.3333,0.66,0.2985,93
1,"Jan",2,"13",0,0,0,"cloudy/misty",0.36,0.3485,0.66,0.1343,75
1,"Jan",2,"14",0,0,0,"light rain/snow",0.36,0.3485,0.76,0.194,59
1,"Jan",2,"15",0,0,0,"light rain/snow",0.34,0.3333,0.81,0.1642,74
1,"Jan",2,"16",0,0,0,"light rain/snow",0.34,0.3333,0.71,0.1642,76
1,"Jan",2,"17",0,0,0,"clear",0.34,0.3333,0.57,0.194,65
1,"Jan",2,"18",0,0,0,"cloudy/misty",0.36,0.3333,0.46,0.3284,53
1,"Jan",2,"19",0,0,0,"clear",0.32,0.2879,0.42,0.4478,30
1,"Jan",2,"20",0,0,0,"clear",0.3,0.2727,0.39,0.3582,22
1,"Jan",2,"21",0,0,0,"clear",0.26,0.2273,0.44,0.3284,31
1,"Jan",2,"22",0,0,0,"clear",0.24,0.2121,0.44,0.2985,9
1,"Jan",2,"23",0,0,0,"clear",0.22,0.2273,0.47,0.1642,8
1,"Jan",3,"0",0,1,1,"clear",0.22,0.197,0.44,0.3582,5
1,"Jan",3,"1",0,1,1,"clear",0.2,0.1667,0.44,0.4179,2
1,"Jan",3,"4",0,1,1,"clear",0.16,0.1364,0.47,0.3881,1
1,"Jan",3,"5",0,1,1,"clear",0.16,0.1364,0.47,0.2836,3
1,"Jan",3,"6",0,1,1,"clear",0.14,0.1061,0.5,0.3881,30
1,"Jan",3,"7",0,1,1,"clear",0.14,0.1364,0.5,0.194,64
1,"Jan",3,"8",0,1,1,"clear",0.14,0.1212,0.5,0.2836,154
1,"Jan",3,"9",0,1,1,"clear",0.16,0.1364,0.43,0.3881,88
1,"Jan",3,"10",0,1,1,"clear",0.18,0.1667,0.43,0.2537,44
1,"Jan",3,"11",0,1,1,"clear",0.2,0.1818,0.4,0.3284,51
1,"Jan",3,"12",0,1,1,"clear",0.22,0.2121,0.35,0.2985,61
1,"Jan",3,"13",0,1,1,"clear",0.24,0.2121,0.35,0.2836,61
1,"Jan",3,"14",0,1,1,"clear",0.26,0.2424,0.3,0.2836,77
1,"Jan",3,"15",0,1,1,"clear",0.26,0.2424,0.3,0.2537,72
1,"Jan",3,"16",0,1,1,"clear",0.26,0.2424,0.3,0.2537,76
1,"Jan",3,"17",0,1,1,"clear",0.24,0.2273,0.3,0.2239,157
1,"Jan",3,"18",0,1,1,"clear",0.24,0.2576,0.32,0.1045,157
1,"Jan",3,"19",0,1,1,"clear",0.2,0.2576,0.47,0,110
1,"Jan",3,"20",0,1,1,"clear",0.2,0.2273,0.47,0.1045,52
1,"Jan",3,"21",0,1,1,"clear",0.18,0.197,0.64,0.1343,52
1,"Jan",3,"22",0,1,1,"clear",0.14,0.1515,0.69,0.1343,20
1,"Jan",3,"23",0,1,1,"clear",0.18,0.2121,0.55,0.1045,12
1,"Jan",4,"0",0,2,1,"clear",0.16,0.1818,0.55,0.1045,5
1,"Jan",4,"1",0,2,1,"clear",0.16,0.1818,0.59,0.1045,2
1,"Jan",4,"2",0,2,1,"clear",0.14,0.1515,0.63,0.1343,1
1,"Jan",4,"4",0,2,1,"clear",0.14,0.1818,0.63,0.0896,2
1,"Jan",4,"5",0,2,1,"clear",0.12,0.1515,0.68,0.1045,4
1,"Jan",4,"6",0,2,1,"clear",0.12,0.1515,0.74,0.1045,36
1,"Jan",4,"7",0,2,1,"clear",0.12,0.1515,0.74,0.1343,94
1,"Jan",4,"8",0,2,1,"clear",0.14,0.1515,0.69,0.1642,179
1,"Jan",4,"9",0,2,1,"clear",0.16,0.1515,0.64,0.2239,100
1,"Jan",4,"10",0,2,1,"cloudy/misty",0.16,0.1364,0.69,0.3284,42
1,"Jan",4,"11",0,2,1,"clear",0.22,0.2121,0.51,0.2985,57
1,"Jan",4,"12",0,2,1,"clear",0.22,0.2273,0.51,0.1642,78
1,"Jan",4,"13",0,2,1,"clear",0.24,0.2273,0.56,0.194,97
1,"Jan",4,"14",0,2,1,"clear",0.26,0.2576,0.52,0.2239,63
1,"Jan",4,"15",0,2,1,"clear",0.28,0.2727,0.52,0.2537,65
1,"Jan",4,"16",0,2,1,"clear",0.3,0.2879,0.49,0.2537,83
1,"Jan",4,"17",0,2,1,"clear",0.28,0.2727,0.48,0.2239,212
1,"Jan",4,"18",0,2,1,"clear",0.26,0.2576,0.48,0.194,182
1,"Jan",4,"19",0,2,1,"clear",0.24,0.2576,0.48,0.1045,112
1,"Jan",4,"20",0,2,1,"clear",0.24,0.2576,0.48,0.1045,54
1,"Jan",4,"21",0,2,1,"clear",0.22,0.2727,0.64,0,48
1,"Jan",4,"22",0,2,1,"clear",0.22,0.2576,0.64,0.0896,35
1,"Jan",4,"23",0,2,1,"clear",0.2,0.2273,0.69,0.0896,11
1,"Jan",5,"0",0,3,1,"clear",0.2,0.2576,0.64,0,6
1,"Jan",5,"1",0,3,1,"clear",0.16,0.197,0.74,0.0896,6
1,"Jan",5,"2",0,3,1,"clear",0.16,0.197,0.74,0.0896,2
1,"Jan",5,"4",0,3,1,"clear",0.24,0.2273,0.48,0.2239,2
1,"Jan",5,"5",0,3,1,"clear",0.22,0.2273,0.47,0.1642,3
1,"Jan",5,"6",0,3,1,"clear",0.2,0.197,0.47,0.2239,33
1,"Jan",5,"7",0,3,1,"clear",0.18,0.1818,0.43,0.194,88
1,"Jan",5,"8",0,3,1,"clear",0.2,0.1818,0.4,0.2985,195
1,"Jan",5,"9",0,3,1,"clear",0.22,0.197,0.37,0.3284,115
1,"Jan",5,"10",0,3,1,"clear",0.22,0.197,0.37,0.3284,57
1,"Jan",5,"11",0,3,1,"clear",0.26,0.2273,0.33,0.3284,46
1,"Jan",5,"12",0,3,1,"clear",0.26,0.2273,0.33,0.3284,79
1,"Jan",5,"13",0,3,1,"clear",0.28,0.2576,0.3,0.2985,71
1,"Jan",5,"14",0,3,1,"clear",0.3,0.2879,0.28,0.194,62
1,"Jan",5,"15",0,3,1,"clear",0.3,0.2879,0.28,0.194,62
1,"Jan",5,"16",0,3,1,"clear",0.3,0.3182,0.28,0.0896,89
1,"Jan",5,"17",0,3,1,"clear",0.24,0.2273,0.38,0.194,190
1,"Jan",5,"18",0,3,1,"clear",0.24,0.2424,0.38,0.1343,169
1,"Jan",5,"19",0,3,1,"clear",0.24,0.2576,0.38,0.1045,132
1,"Jan",5,"20",0,3,1,"clear",0.22,0.2273,0.47,0.1642,89
1,"Jan",5,"21",0,3,1,"clear",0.2,0.197,0.51,0.194,43
1,"Jan",5,"22",0,3,1,"clear",0.18,0.197,0.55,0.1343,42
1,"Jan",5,"23",0,3,1,"clear",0.2,0.2576,0.47,0,19
1,"Jan",6,"0",0,4,1,"clear",0.18,0.2424,0.55,0,11
1,"Jan",6,"1",0,4,1,"clear",0.16,0.2273,0.64,0,4
1,"Jan",6,"2",0,4,1,"clear",0.16,0.2273,0.64,0,2
1,"Jan",6,"4",0,4,1,"cloudy/misty",0.16,0.197,0.64,0.0896,1
1,"Jan",6,"5",0,4,1,"cloudy/misty",0.14,0.1818,0.69,0.0896,4
1,"Jan",6,"6",0,4,1,"cloudy/misty",0.14,0.1667,0.63,0.1045,36
1,"Jan",6,"7",0,4,1,"cloudy/misty",0.16,0.2273,0.59,0,95
1,"Jan",6,"8",0,4,1,"clear",0.16,0.2273,0.59,0,219
1,"Jan",6,"9",0,4,1,"cloudy/misty",0.18,0.2424,0.51,0,122
1,"Jan",6,"10",0,4,1,"clear",0.2,0.2576,0.47,0,45
1,"Jan",6,"11",0,4,1,"clear",0.22,0.2576,0.44,0.0896,59
1,"Jan",6,"12",0,4,1,"clear",0.26,0.2879,0.35,0,84
1,"Jan",6,"13",0,4,1,"clear",0.26,0.2727,0.35,0.1045,67
1,"Jan",6,"14",0,4,1,"clear",0.28,0.2727,0.36,0.1642,70
1,"Jan",6,"15",0,4,1,"clear",0.28,0.2727,0.36,0,62
1,"Jan",6,"16",0,4,1,"clear",0.26,0.2576,0.38,0.1642,86
1,"Jan",6,"17",0,4,1,"clear",0.22,0.2273,0.51,0.1642,172
1,"Jan",6,"18",0,4,1,"clear",0.22,0.2273,0.51,0.1343,163
1,"Jan",6,"19",0,4,1,"clear",0.22,0.2576,0.55,0.0896,112
1,"Jan",6,"20",0,4,1,"clear",0.2,0.2121,0.51,0.1642,69
1,"Jan",6,"21",0,4,1,"cloudy/misty",0.22,0.2121,0.55,0.2239,48
1,"Jan",6,"22",0,4,1,"cloudy/misty",0.22,0.2121,0.51,0.2836,52
1,"Jan",6,"23",0,4,1,"cloudy/misty",0.2,0.197,0.59,0.194,23
1,"Jan",7,"0",0,5,1,"cloudy/misty",0.2,0.197,0.64,0.194,17
1,"Jan",7,"1",0,5,1,"cloudy/misty",0.2,0.197,0.69,0.2239,7
1,"Jan",7,"2",0,5,1,"cloudy/misty",0.2,0.197,0.69,0.2239,1
1,"Jan",7,"4",0,5,1,"cloudy/misty",0.2,0.2121,0.69,0.1343,1
1,"Jan",7,"5",0,5,1,"light rain/snow",0.22,0.2727,0.55,0,5
1,"Jan",7,"6",0,5,1,"cloudy/misty",0.2,0.2576,0.69,0,34
1,"Jan",7,"7",0,5,1,"clear",0.2,0.2121,0.69,0.1343,84
1,"Jan",7,"8",0,5,1,"clear",0.2,0.197,0.51,0.2537,210
1,"Jan",7,"9",0,5,1,"clear",0.2,0.1818,0.47,0.2985,134
1,"Jan",7,"10",0,5,1,"clear",0.22,0.197,0.37,0.3284,63
1,"Jan",7,"11",0,5,1,"cloudy/misty",0.2,0.197,0.4,0.2239,67
1,"Jan",7,"12",0,5,1,"cloudy/misty",0.2,0.197,0.37,0.2537,59
1,"Jan",7,"13",0,5,1,"cloudy/misty",0.2,0.1818,0.37,0.2836,73
1,"Jan",7,"14",0,5,1,"cloudy/misty",0.2,0.197,0.4,0.2537,50
1,"Jan",7,"15",0,5,1,"cloudy/misty",0.2,0.2121,0.37,0.1642,72
1,"Jan",7,"16",0,5,1,"cloudy/misty",0.2,0.2121,0.37,0.1642,87
1,"Jan",7,"17",0,5,1,"cloudy/misty",0.2,0.2576,0.37,0,187
1,"Jan",7,"18",0,5,1,"clear",0.2,0.2273,0.4,0.0896,123
1,"Jan",7,"19",0,5,1,"clear",0.16,0.197,0.55,0.0896,95
1,"Jan",7,"20",0,5,1,"clear",0.18,0.2121,0.47,0.1045,51
1,"Jan",7,"21",0,5,1,"clear",0.18,0.197,0.47,0.1343,39
1,"Jan",7,"22",0,5,1,"cloudy/misty",0.18,0.197,0.43,0.1642,36
1,"Jan",7,"23",0,5,1,"cloudy/misty",0.18,0.197,0.51,0.1642,15
1,"Jan",8,"0",0,6,0,"cloudy/misty",0.18,0.197,0.51,0.1642,25
1,"Jan",8,"1",0,6,0,"cloudy/misty",0.18,0.2121,0.55,0.0896,16
1,"Jan",8,"2",0,6,0,"cloudy/misty",0.18,0.2424,0.55,0,16
1,"Jan",8,"3",0,6,0,"light rain/snow",0.18,0.197,0.55,0.1642,7
1,"Jan",8,"4",0,6,0,"light rain/snow",0.18,0.197,0.55,0.1642,1
1,"Jan",8,"5",0,6,0,"cloudy/misty",0.16,0.1667,0.74,0.1642,5
1,"Jan",8,"6",0,6,0,"cloudy/misty",0.16,0.1667,0.74,0.1642,2
1,"Jan",8,"7",0,6,0,"cloudy/misty",0.16,0.1818,0.74,0.1045,9
1,"Jan",8,"8",0,6,0,"light rain/snow",0.16,0.1818,0.93,0.1045,15
1,"Jan",8,"9",0,6,0,"light rain/snow",0.16,0.1818,0.93,0.1045,20
1,"Jan",8,"10",0,6,0,"cloudy/misty",0.18,0.197,0.8,0.1642,61
1,"Jan",8,"11",0,6,0,"cloudy/misty",0.2,0.1818,0.69,0.3881,62
1,"Jan",8,"12",0,6,0,"cloudy/misty",0.2,0.1818,0.59,0.3582,98
1,"Jan",8,"13",0,6,0,"clear",0.2,0.1818,0.44,0.3284,102
1,"Jan",8,"14",0,6,0,"clear",0.2,0.1667,0.32,0.4925,95
1,"Jan",8,"15",0,6,0,"clear",0.2,0.1667,0.32,0.4478,74
1,"Jan",8,"16",0,6,0,"clear",0.18,0.1364,0.29,0.4478,76
1,"Jan",8,"17",0,6,0,"clear",0.16,0.1212,0.37,0.5522,69
1,"Jan",8,"18",0,6,0,"clear",0.14,0.1212,0.39,0.2985,55
1,"Jan",8,"19",0,6,0,"clear",0.14,0.1212,0.36,0.2537,30
1,"Jan",8,"20",0,6,0,"clear",0.12,0.1212,0.36,0.2537,28
1,"Jan",8,"21",0,6,0,"clear",0.12,0.1061,0.39,0.3582,37
1,"Jan",8,"22",0,6,0,"clear",0.12,0.1061,0.36,0.3881,34
1,"Jan",8,"23",0,6,0,"clear",0.1,0.0606,0.39,0.4478,22
1,"Jan",9,"0",0,0,0,"clear",0.1,0.0758,0.42,0.3881,25
1,"Jan",9,"1",0,0,0,"clear",0.1,0.0606,0.42,0.4627,12
1,"Jan",9,"2",0,0,0,"clear",0.1,0.0606,0.46,0.4627,11
1,"Jan",9,"3",0,0,0,"clear",0.1,0.0758,0.46,0.4179,4
1,"Jan",9,"4",0,0,0,"clear",0.08,0.0909,0.53,0.194,1
1,"Jan",9,"5",0,0,0,"clear",0.08,0.0909,0.53,0.194,1
1,"Jan",9,"6",0,0,0,"clear",0.1,0.0909,0.49,0.2836,1
1,"Jan",9,"7",0,0,0,"clear",0.08,0.0909,0.53,0.194,6
1,"Jan",9,"8",0,0,0,"clear",0.1,0.0909,0.49,0.2836,10
1,"Jan",9,"9",0,0,0,"clear",0.12,0.0758,0.46,0.5224,19
1,"Jan",9,"10",0,0,0,"clear",0.14,0.1061,0.43,0.3881,49
1,"Jan",9,"11",0,0,0,"clear",0.16,0.1212,0.4,0.5224,49
1,"Jan",9,"12",0,0,0,"clear",0.18,0.1364,0.37,0.4478,83
1,"Jan",9,"13",0,0,0,"clear",0.2,0.1667,0.34,0.4478,75
1,"Jan",9,"14",0,0,0,"clear",0.22,0.1818,0.32,0.4627,72
1,"Jan",9,"15",0,0,0,"clear",0.22,0.197,0.35,0.3582,82
1,"Jan",9,"16",0,0,0,"clear",0.2,0.1667,0.34,0.4478,92
1,"Jan",9,"17",0,0,0,"clear",0.18,0.1515,0.37,0.3881,62
1,"Jan",9,"18",0,0,0,"clear",0.16,0.1364,0.4,0.3284,48
1,"Jan",9,"19",0,0,0,"clear",0.16,0.1364,0.43,0.3284,41
1,"Jan",9,"20",0,0,0,"clear",0.14,0.1212,0.46,0.2537,38
1,"Jan",9,"21",0,0,0,"clear",0.14,0.1061,0.46,0.4179,20
1,"Jan",9,"22",0,0,0,"clear",0.14,0.1212,0.46,0.2985,15
1,"Jan",9,"23",0,0,0,"clear",0.12,0.1364,0.5,0.194,6
1,"Jan",10,"0",0,1,1,"clear",0.12,0.1212,0.5,0.2836,5
1,"Jan",10,"1",0,1,1,"clear",0.12,0.1212,0.5,0.2836,1
1,"Jan",10,"2",0,1,1,"clear",0.12,0.1212,0.5,0.2239,3
1,"Jan",10,"3",0,1,1,"clear",0.12,0.1212,0.5,0.2239,1
1,"Jan",10,"4",0,1,1,"clear",0.1,0.1212,0.54,0.1343,3
1,"Jan",10,"5",0,1,1,"clear",0.1,0.1061,0.54,0.2537,3
1,"Jan",10,"6",0,1,1,"clear",0.12,0.1212,0.5,0.2836,31
1,"Jan",10,"7",0,1,1,"clear",0.12,0.1212,0.5,0.2239,77
1,"Jan",10,"8",0,1,1,"cloudy/misty",0.12,0.1212,0.5,0.2836,188
1,"Jan",10,"9",0,1,1,"cloudy/misty",0.14,0.1212,0.5,0.2537,94
1,"Jan",10,"10",0,1,1,"cloudy/misty",0.14,0.1212,0.5,0.2985,31
1,"Jan",10,"11",0,1,1,"cloudy/misty",0.16,0.1364,0.47,0.2836,30
1,"Jan",10,"12",0,1,1,"cloudy/misty",0.2,0.1818,0.4,0.2836,52
1,"Jan",10,"13",0,1,1,"cloudy/misty",0.2,0.1818,0.4,0.2836,54
1,"Jan",10,"14",0,1,1,"cloudy/misty",0.2,0.197,0.4,0.2239,47
1,"Jan",10,"15",0,1,1,"cloudy/misty",0.2,0.197,0.4,0.2239,45
1,"Jan",10,"16",0,1,1,"clear",0.2,0.2121,0.4,0.1343,74
1,"Jan",10,"17",0,1,1,"clear",0.2,0.2273,0.4,0.1045,178
1,"Jan",10,"18",0,1,1,"clear",0.2,0.197,0.4,0.2239,155
1,"Jan",10,"19",0,1,1,"clear",0.16,0.1667,0.47,0.1642,95
1,"Jan",10,"20",0,1,1,"clear",0.16,0.1667,0.5,0.1642,74
1,"Jan",10,"21",0,1,1,"clear",0.14,0.1364,0.59,0.194,38
1,"Jan",10,"22",0,1,1,"clear",0.14,0.1515,0.59,0.1642,24
1,"Jan",10,"23",0,1,1,"clear",0.14,0.1515,0.59,0.1642,18
1,"Jan",11,"0",0,2,1,"clear",0.14,0.1667,0.59,0.1045,12
1,"Jan",11,"1",0,2,1,"clear",0.14,0.1515,0.59,0.1642,3
1,"Jan",11,"2",0,2,1,"cloudy/misty",0.16,0.1515,0.55,0.194,3
1,"Jan",11,"5",0,2,1,"cloudy/misty",0.16,0.1818,0.55,0.1343,6
1,"Jan",11,"6",0,2,1,"cloudy/misty",0.16,0.1818,0.55,0.1343,27
1,"Jan",11,"7",0,2,1,"cloudy/misty",0.16,0.2273,0.55,0,99
1,"Jan",11,"8",0,2,1,"cloudy/misty",0.18,0.2121,0.51,0.0896,217
1,"Jan",11,"9",0,2,1,"cloudy/misty",0.18,0.197,0.51,0.1642,130
1,"Jan",11,"10",0,2,1,"cloudy/misty",0.2,0.2121,0.51,0.1642,54
1,"Jan",11,"11",0,2,1,"cloudy/misty",0.2,0.2121,0.47,0.1343,35
1,"Jan",11,"12",0,2,1,"cloudy/misty",0.2,0.2273,0.51,0.1045,57
1,"Jan",11,"13",0,2,1,"cloudy/misty",0.2,0.2273,0.59,0.0896,52
1,"Jan",11,"14",0,2,1,"cloudy/misty",0.2,0.2273,0.59,0.0896,63
1,"Jan",11,"15",0,2,1,"cloudy/misty",0.16,0.197,0.8,0.0896,47
1,"Jan",11,"16",0,2,1,"cloudy/misty",0.16,0.1515,0.86,0.2239,76
1,"Jan",11,"17",0,2,1,"cloudy/misty",0.16,0.1515,0.86,0.2239,136
1,"Jan",11,"18",0,2,1,"light rain/snow",0.16,0.1818,0.93,0.1045,95
1,"Jan",11,"19",0,2,1,"light rain/snow",0.16,0.2273,0.93,0,51
1,"Jan",11,"20",0,2,1,"light rain/snow",0.16,0.1515,0.93,0.194,32
1,"Jan",11,"21",0,2,1,"light rain/snow",0.16,0.197,0.86,0.0896,20
1,"Jan",11,"22",0,2,1,"light rain/snow",0.16,0.1818,0.93,0.1045,29
1,"Jan",11,"23",0,2,1,"light rain/snow",0.16,0.197,0.93,0.0896,19
1,"Jan",12,"0",0,3,1,"cloudy/misty",0.16,0.197,0.86,0.0896,7
1,"Jan",12,"1",0,3,1,"cloudy/misty",0.16,0.1818,0.86,0.1045,6
1,"Jan",12,"2",0,3,1,"clear",0.14,0.1515,0.86,0.1343,1
1,"Jan",12,"5",0,3,1,"clear",0.14,0.1515,0.86,0.1642,5
1,"Jan",12,"6",0,3,1,"clear",0.12,0.1515,0.93,0.1343,16
1,"Jan",12,"7",0,3,1,"clear",0.14,0.1515,0.69,0.1343,54
1,"Jan",12,"8",0,3,1,"clear",0.16,0.1667,0.59,0.1642,128
1,"Jan",12,"9",0,3,1,"clear",0.16,0.1364,0.59,0.3284,81
1,"Jan",12,"10",0,3,1,"clear",0.18,0.1818,0.55,0.2239,39
1,"Jan",12,"11",0,3,1,"clear",0.2,0.1818,0.51,0.3881,35
1,"Jan",12,"12",0,3,1,"clear",0.2,0.1515,0.47,0.5821,55
1,"Jan",12,"13",0,3,1,"clear",0.22,0.197,0.44,0.3582,49
1,"Jan",12,"14",0,3,1,"clear",0.2,0.1818,0.47,0.3284,44
1,"Jan",12,"15",0,3,1,"clear",0.2,0.1667,0.47,0.4179,49
1,"Jan",12,"16",0,3,1,"clear",0.22,0.197,0.44,0.3284,68
1,"Jan",12,"17",0,3,1,"clear",0.2,0.1818,0.47,0.3582,139
1,"Jan",12,"18",0,3,1,"clear",0.2,0.1515,0.47,0.5224,137
1,"Jan",12,"19",0,3,1,"clear",0.18,0.1515,0.47,0.4179,83
1,"Jan",12,"20",0,3,1,"clear",0.16,0.1364,0.5,0.3284,56
1,"Jan",12,"21",0,3,1,"clear",0.16,0.1364,0.55,0.3284,57
1,"Jan",12,"22",0,3,1,"clear",0.16,0.1212,0.55,0.4478,33
1,"Jan",12,"23",0,3,1,"clear",0.14,0.1061,0.59,0.4179,20
1,"Jan",13,"0",0,4,1,"clear",0.14,0.1212,0.59,0.2836,7
1,"Jan",13,"1",0,4,1,"clear",0.14,0.1212,0.5,0.2836,2
1,"Jan",13,"2",0,4,1,"clear",0.14,0.1212,0.5,0.3582,2
1,"Jan",13,"3",0,4,1,"clear",0.14,0.1212,0.5,0.3284,3
1,"Jan",13,"4",0,4,1,"clear",0.14,0.1212,0.5,0.2537,4
1,"Jan",13,"5",0,4,1,"clear",0.14,0.1212,0.5,0.2985,3
1,"Jan",13,"6",0,4,1,"clear",0.12,0.1515,0.54,0.1343,28
1,"Jan",13,"7",0,4,1,"clear",0.12,0.1515,0.54,0.1343,72
1,"Jan",13,"8",0,4,1,"clear",0.14,0.1364,0.5,0.194,202
1,"Jan",13,"9",0,4,1,"clear",0.14,0.1212,0.5,0.3284,139
1,"Jan",13,"10",0,4,1,"cloudy/misty",0.16,0.1364,0.5,0.3582,38
1,"Jan",13,"11",0,4,1,"cloudy/misty",0.2,0.1667,0.44,0.4478,37
1,"Jan",13,"12",0,4,1,"clear",0.2,0.1667,0.44,0.4179,52
1,"Jan",13,"13",0,4,1,"clear",0.22,0.197,0.41,0.4478,83
1,"Jan",13,"14",0,4,1,"clear",0.22,0.197,0.41,0.3881,42
1,"Jan",13,"15",0,4,1,"clear",0.24,0.2121,0.38,0.2985,60
1,"Jan",13,"16",0,4,1,"clear",0.24,0.2121,0.38,0.3582,78
1,"Jan",13,"17",0,4,1,"clear",0.2,0.1818,0.4,0.2836,162
1,"Jan",13,"18",0,4,1,"clear",0.2,0.1818,0.4,0.3284,144
1,"Jan",13,"19",0,4,1,"clear",0.16,0.1515,0.47,0.2537,99
1,"Jan",13,"20",0,4,1,"clear",0.16,0.1515,0.47,0.2239,64
1,"Jan",13,"21",0,4,1,"clear",0.14,0.1212,0.46,0.2985,40
1,"Jan",13,"22",0,4,1,"clear",0.14,0.1212,0.46,0.3284,30
1,"Jan",13,"23",0,4,1,"clear",0.12,0.1364,0.5,0.194,15
1,"Jan",14,"0",0,5,1,"clear",0.12,0.1364,0.5,0.194,14
1,"Jan",14,"1",0,5,1,"clear",0.1,0.1212,0.54,0.1642,5
1,"Jan",14,"2",0,5,1,"clear",0.1,0.1212,0.54,0.1343,1
1,"Jan",14,"3",0,5,1,"clear",0.1,0.1364,0.54,0.1045,1
1,"Jan",14,"5",0,5,1,"clear",0.1,0.1364,0.54,0.0896,8
1,"Jan",14,"6",0,5,1,"clear",0.1,0.1818,0.54,0,17
1,"Jan",14,"7",0,5,1,"clear",0.1,0.1212,0.74,0.1642,70
1,"Jan",14,"8",0,5,1,"clear",0.12,0.1667,0.68,0,158
1,"Jan",14,"9",0,5,1,"clear",0.14,0.1515,0.69,0.1343,117
1,"Jan",14,"10",0,5,1,"clear",0.18,0.1818,0.55,0.194,44
1,"Jan",14,"11",0,5,1,"clear",0.18,0.1667,0.51,0.2836,53
1,"Jan",14,"12",0,5,1,"clear",0.2,0.197,0.44,0.2537,61
1,"Jan",14,"13",0,5,1,"clear",0.22,0.197,0.37,0.3881,77
1,"Jan",14,"14",0,5,1,"clear",0.22,0.2121,0.41,0.2836,64
1,"Jan",14,"15",0,5,1,"clear",0.24,0.2424,0.38,0.1642,68
1,"Jan",14,"16",0,5,1,"clear",0.22,0.2424,0.41,0.1045,90
1,"Jan",14,"17",0,5,1,"clear",0.22,0.2273,0.41,0.1642,159
1,"Jan",14,"18",0,5,1,"clear",0.2,0.2576,0.47,0,139
1,"Jan",14,"19",0,5,1,"clear",0.16,0.197,0.59,0.0896,92
1,"Jan",14,"20",0,5,1,"clear",0.18,0.2424,0.59,0,68
1,"Jan",14,"21",0,5,1,"clear",0.16,0.2273,0.69,0,52
1,"Jan",14,"22",0,5,1,"cloudy/misty",0.16,0.2273,0.69,0,36
