"brand","model","model_year","milage","fuel_type","engine","transmission","ext_col","int_col","accident","clean_title","price"
"Bentley","Continental GTC Base","2011","20,200 mi.","E85 Flex Fuel","552.0HP 6.0L 12 Cylinder Engine Flex Fuel Capability","6-Speed A/T","Black","Black","None reported","Yes",79950
"Honda","Passport Elite","2023","2,978 mi.","Gasoline","3.5 Liter SOHC","Automatic","Lunar Silver Metallic","Gray","None reported","No",45498
"Dodge","Sprinter 2500","2007","189,719 mi.","Diesel","3.0L V6 Cylinder Engine Diesel Fuel","5-Speed A/T","White","Gray","At least 1 accident or damage reported","Yes",14000
"BMW","M850 i xDrive","2019","9,949 mi.","Gasoline","4.4 Liter DOHC Twin Turbo","Automatic","Blue","Black","None reported","No",75798
"Lucid","Air Grand Touring","2022","3,552 mi.","Other","536.0HP Electric Motor Electric Fuel System","1-Speed A/T","Red","Beige","None reported","Yes",119999
"Audi","A7 Premium","2012","54,000 mi.","Gasoline","310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","8-Speed A/T","Black","Brown","At least 1 accident or damage reported","Yes",36880
"Chevrolet","Silverado 1500 Custom Trail Boss","2021","51,351 mi.","Gasoline","5.3L V8 16V GDI OHV","Automatic","Black","Jet Black","None reported","Yes",43147
"MINI","Convertible John Cooper Works","2017","24,280 mi.","Gasoline","228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","6-Speed A/T","Black","Black","At least 1 accident or damage reported","Yes",29000
"Toyota","Avalon Touring","2016","89,148 mi.","Gasoline","268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","A/T","Black","Black","None reported","Yes",17500
"Porsche","Cayenne Platinum Edition","2017","73,043 mi.","Gasoline","300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel","8-Speed A/T","White","Black","None reported","Yes",30990
"Mercedes-Benz","AMG C 63 S","2017","60,000 mi.","Gasoline","503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Gray","Black","At least 1 accident or damage reported","Yes",52500
"Honda","CR-V EX-L","2016","73,549 mi.","Gasoline","2.4L I4 16V GDI DOHC","Automatic CVT","Mountain Air Metallic","Black","At least 1 accident or damage reported","No",20848
"Hummer","H2 Base","2005","110,900 mi.","Gasoline","325.0HP 6.0L 8 Cylinder Engine Gasoline Fuel","A/T","Gray","Black","None reported","Yes",19500
"Porsche","911 Carrera S","2013","39,000 mi.","Gasoline","400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel","7-Speed A/T","Blue","Black","None reported","Yes",73000
"Mercedes-Benz","CLA-Class CLA 250","2016","120,000 mi.","Gasoline","208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Black","None reported","Yes",19800
"Chrysler","300 Touring","2009","134,602 mi.","Gasoline","250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Blue","Black","None reported","Yes",7500
"Nissan","Rogue SV","2023","1,094 mi.","Gasoline","1.5L I3 12V GDI DOHC Turbo","Automatic CVT","Caspian Blue","Light Gray","None reported","No",30999
"Audi","A3 2.0T","2010","83,500 mi.","Gasoline","200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Silver","Black","None reported","Yes",6500
"Ford","Mustang GT Premium","2014","37,060 mi.","Gasoline","420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel","6-Speed M/T","Black","Black","None reported","Yes",28500
"Acura","RL Technology","2010","97,700 mi.","Gasoline","300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Blue","Beige","None reported","Yes",10995
"Volvo","XC90 Hybrid T8 R-Design","2018","40,000 mi.","Plug-In Hybrid","400.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas","Transmission w/Dual Shift Mode","Black","Black","None reported","Yes",42000
"Audi","R8 5.2 V10","2018","8,940 mi.","Gasoline","5.2L V10 40V PDI DOHC","7-Speed Automatic with Auto-Shift","Tango Red Metallic","Black","None reported","No",144900
"Mercedes-Benz","GLK-Class GLK 350","2014","186,000 mi.","Gasoline","302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","A/T","Black","Beige","At least 1 accident or damage reported","Yes",10000
"Toyota","C-HR LE","2021","13,180 mi.","Gasoline","2.0 Liter","CVT-F","–","–","None reported","No",23998
"Lexus","IS 350 Base","2014","104,000 mi.","Gasoline","306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","8-Speed A/T","Black","Black","None reported","Yes",21000
"BMW","X4 M40i","2023","8,500 mi.","Hybrid","382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid","Transmission w/Dual Shift Mode","Gray","Beige","None reported","Yes",67900
"BMW","M4 CS","2019","19,069 mi.","Gasoline","3.0 Liter DOHC Turbo","Automatic","Alpine White","Anthracite","None reported","No",69998
"Cadillac","CT5 Premium Luxury","2023","6,090 mi.","Gasoline","237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","A/T","White","Beige","None reported","Yes",46900
"Lucid","Air Grand Touring","2022","4,900 mi.","Other","536.0HP Electric Motor Electric Fuel System","1-Speed A/T","Red","Black","None reported","Yes",99000
"Audi","A5 2.0T Premium Plus","2019","47,523 mi.","Gasoline","248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Black","None reported","Yes",31000
"Chrysler","300C SRT8","2006","43,000 mi.","Gasoline","425.0HP 6.1L 8 Cylinder Engine Gasoline Fuel","5-Speed A/T","Silver","Black","At least 1 accident or damage reported","Yes",19995
"Bentley","Continental GT W12","2017","14,684 mi.","Gasoline","582.0HP 6.0L 12 Cylinder Engine Gasoline Fuel","8-Speed A/T","White","White","None reported","Yes",130000
"BMW","M4 Base","2019","57,800 mi.","Gasoline","425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Red","None reported","Yes",55999
"Toyota","GR Corolla Circuit Edition","2023","952 mi.","Gasoline","300.0HP 1.6L 3 Cylinder Engine Gasoline Fuel","6-Speed M/T","Silver","Gray","None reported","Yes",49950
"Audi","RS 5 2.9T","2019","21,240 mi.","Gasoline","444.0HP 2.9L V6 Cylinder Engine Gasoline Fuel","8-Speed A/T","Black","Black","At least 1 accident or damage reported","Yes",59950
"Porsche","Cayenne Base","2019","59,338 mi.","Gasoline","335.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Black","None reported","Yes",42499
"Lamborghini","Huracan Tecnica Coupe","2023","255 mi.","Gasoline","5.2L V-10 gasoline direct injection, DOHC, variable valve contro","Automatic","BLU ELEOS","Nero Ade","None reported","No",359991
"Maserati","Quattroporte S","2019","23,230 mi.","Gasoline","424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","8-Speed A/T","Black","Black","None reported","Yes",44999
"Jaguar","XF 35t R-Sport","2017","48,000 mi.","Gasoline","340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","A/T","Red","Black","At least 1 accident or damage reported","Yes",30000
"Lexus","ES 330 Base","2005","41,059 mi.","Gasoline","225.0HP 3.3L V6 Cylinder Engine Gasoline Fuel","5-Speed A/T","White","Beige","None reported","Yes",11100
"Land","Rover Discovery Sport SE R-Dynamic","2020","21,240 mi.","Gasoline","2.0 Liter","Automatic","White","Black","None reported","No",37998
"Porsche","Cayman GTS","2015","11,500 mi.","Gasoline","340.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel","7-Speed A/T","Silver","–","None reported","Yes",72000
"Genesis","G90 3.3T Premium","2021","9,950 mi.","Gasoline","365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel","8-Speed A/T","Silver","Blue","None reported","Yes",53950
"Volkswagen","Golf R 20th Anniversary Edition","2023","633 mi.","Gasoline","315.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","6-Speed M/T","White","Black","None reported","Yes",47999
"Hyundai","Sonata Hybrid Limited","2015","66,000 mi.","Hybrid","199.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid","A/T","White","Gray","At least 1 accident or damage reported","Yes",15900
"Audi","RS 7 4.0T Prestige","2014","59,715 mi.","Gasoline","560.0HP 4.0L 8 Cylinder Engine Gasoline Fuel","A/T","Gray","Black","At least 1 accident or damage reported","Yes",45000
"BMW","740 Li","2012","85,252 mi.","Gasoline","326.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","6-Speed A/T","Black","Black","None reported","Yes",18500
"Mercedes-Benz","GLS 450 Base 4MATIC","2020","17,900 mi.","Hybrid","362.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid","9-Speed A/T","Black","Black","At least 1 accident or damage reported","Yes",80000
"BMW","M6 Base","2016","25,500 mi.","Gasoline","560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel","7-Speed A/T","White","Black","None reported","Yes",55000
"Subaru","Forester 2.5 X","2004","210,703 mi.","Gasoline","165.0HP 2.5L 4 Cylinder Engine Gasoline Fuel","M/T","Green","Beige","None reported","No",2300
"Hyundai","Elantra N Base","2023","3,800 mi.","Gasoline","276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","6-Speed M/T","White","Black","None reported","Yes",34000
"Kia","Niro Plug-In Hybrid EX Premium","2022","36,602 mi.","Hybrid","1.6L I4 16V GDI DOHC Hybrid","6-Speed Automatic with Auto-Shift","Horizon Blue","Charcoal","None reported","Yes",31995
"Rivian","R1S Adventure Package","2023","2,800 mi.","Other","835.0HP Electric Motor Electric Fuel System","1-Speed A/T","White","Green","None reported","Yes",92000
"Aston","Martin DBS Superleggera","2021","2,165 mi.","Gasoline","5.2L V12 48V GDI DOHC Twin Turbo","8-Speed Automatic","Black","Black","None reported","Yes",279950
"Mercedes-Benz","SLC 300 Base","2018","33,000 mi.","Gasoline","241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","9-Speed A/T","Red","Black","At least 1 accident or damage reported","Yes",29900
"BMW","435 Gran Coupe i","2016","76,009 mi.","Gasoline","300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","8-Speed A/T","White","Beige","None reported","Yes",24950
"Jeep","Grand Cherokee Summit","2020","31,349 mi.","Gasoline","5.7L V8 16V MPFI OHV","8-Speed Automatic","Granite Crystal Clearcoat Metallic","Black","None reported","No",39366
"Lexus","RC 350 Base","2015","48,000 mi.","Gasoline","306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Orange","Red","None reported","Yes",32900
"BMW","525 i","2005","91,420 mi.","Gasoline","215.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel","6-Speed A/T","Black","Black","None reported","Yes",8900
"Toyota","Corolla LE","2003","124,756 mi.","Gasoline","130.0HP 1.8L 4 Cylinder Engine Gasoline Fuel","M/T","Beige","Beige","At least 1 accident or damage reported","Yes",4995
"Cadillac","CT5-V Blackwing","2023","2,415 mi.","Gasoline","6.2L V8 16V GDI OHV Supercharged","10-Speed Automatic","Rift Metallic","Gray","None reported","No",104900
"GMC","Acadia SLT-1","2012","116,226 mi.","Gasoline","288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel","6-Speed A/T","Black","Black","None reported","Yes",7900
"Lexus","LC 500 Base","2020","37,869 mi.","Gasoline","5.0L V8 32V PDI DOHC","10-Speed Automatic","Atomic Silver","Rioja Red","None reported","No",75950
"BMW","i8 Base","2019","41,500 mi.","Plug-In Hybrid","369.0HP 1.5L 3 Cylinder Engine Plug-In Electric/Gas","Transmission w/Dual Shift Mode","White","Black","None reported","Yes",86000
"Lexus","ES 300h Base","2013","87,001 mi.","Hybrid","200.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid","CVT Transmission","Gold","Beige","None reported","Yes",17995
"Cadillac","CT5-V V-Series","2022","4,451 mi.","Gasoline","3.0L V6 24V GDI DOHC Twin Turbo","Automatic","Summit White","Jet Black","At least 1 accident or damage reported","Yes",55655
"BMW","540 i xDrive","2020","27,158 mi.","Gasoline","2.0 Liter Turbo","Automatic","Imperial Blue Metallic","Canberra Beige/Black","None reported","No",39998
"Chevrolet","Express 1500 Work Van","2014","139,804 mi.","Gasoline","195.0HP 4.3L V6 Cylinder Engine Gasoline Fuel","A/T","White","Gray","At least 1 accident or damage reported","Yes",14500
"Jeep","Gladiator Rubicon","2022","27,300 mi.","Gasoline","285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel","A/T","Green","Black","None reported","Yes",47500
"BMW","Z4 sDrive28i","2014","36,812 mi.","Gasoline","240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","White","Beige","None reported","Yes",27000
"Land","Rover LR4 HSE LUX Landmark Edition","2016","144,000 mi.","Gasoline","340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","8-Speed A/T","Black","Black","At least 1 accident or damage reported","Yes",18000
"Cadillac","XT4 Sport","2019","44,500 mi.","Gasoline","237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","9-Speed A/T","Blue","White","None reported","Yes",28900
"BMW","750 750i xDrive","2021","10,917 mi.","Gasoline","4.4 Liter Twin Turbo","Automatic","Black","Black","None reported","No",73998
"Bentley","Arnage R","2005","8,332 mi.","Gasoline","400.0HP 6.75L 8 Cylinder Engine Gasoline Fuel","4-Speed A/T","White","Beige","None reported","Yes",47350
"Lincoln","Aviator Reserve AWD","2020","51,247 mi.","Gasoline","3.0 Liter GTDI","Automatic","Magnetic Gray Clearcoat","Roast","None reported","No",47698
"Mercedes-Benz","AMG GL AMG GL 63 4MATIC","2016","69,000 mi.","Gasoline","550.0HP 5.5L 8 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Brown","None reported","Yes",36500
"RAM","ProMaster 3500 High Roof","2021","147,834 mi.","Gasoline","3.6L V6 24V MPFI DOHC","6-Speed Automatic","Bright White Clearcoat","Black","None reported","Yes",32662
"Ford","Utility Police Interceptor Base","2013","105,000 mi.","E85 Flex Fuel","300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability","A/T","White","Black","At least 1 accident or damage reported","Yes",6600
"Audi","A5 2.0T Premium","2011","92,203 mi.","Gasoline","211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Red","Beige","None reported","Yes",9995
"Nissan","GT-R Premium","2010","15,600 mi.","Gasoline","485.0HP 3.8L V6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","White","Black","None reported","Yes",69500
"Land","Rover Range Rover Sport 3.0L Supercharged HSE","2018","104,700 mi.","Gasoline","V6","Automatic","Fuji White","Ivory / Ebony","At least 1 accident or damage reported","No",30775
"Toyota","Corolla LE","2010","72,348 mi.","Gasoline","132.0HP 1.8L 4 Cylinder Engine Gasoline Fuel","A/T","Red","Gray","At least 1 accident or damage reported","Yes",9995
"Rivian","R1S Adventure Package","2023","2,500 mi.","Other","835.0HP Electric Motor Electric Fuel System","A/T","Green","White","None reported","Yes",94000
"Mercedes-Benz","C-Class C300 4MATIC","2022","13,177 mi.","Gasoline","2.0 Liter Turbo","Automatic","White","Silk Beige/Black","None reported","No",44798
"Porsche","Cayenne E-Hybrid S","2016","96,000 mi.","Plug-In Hybrid","416.0HP 3.0L V6 Cylinder Engine Plug-In Electric/Gas","Transmission w/Dual Shift Mode","White","Red","At least 1 accident or damage reported","Yes",23000
"Chevrolet","Express 1500 Work Van","2011","93,009 mi.","E85 Flex Fuel","5.3L V8 16V MPFI OHV Flexible Fuel","4-Speed Automatic","Summit White","Medium Pewter","None reported","Yes",22495
"INFINITI","Q70h Base","2016","52,750 mi.","Hybrid","360.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid","7-Speed A/T","White","Black","At least 1 accident or damage reported","Yes",28998
"Audi","A7 Premium Plus","2020","25,361 mi.","Hybrid","3.0 Liter Turbo","Automatic","Typhoon Gray","Black","None reported","No",49998
"Audi","Q7 3.0T Premium Plus","2015","98,527 mi.","Gasoline","280.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","8-Speed A/T","Black","Black","None reported","No",9995
"Lucid","Air Pure","2023","1,300 mi.","Other","620.0HP Electric Motor Electric Fuel System","A/T","Black","Gray","None reported","No",86900
"Chrysler","Pacifica Touring","2017","87,305 mi.","–","–","9-Speed A/T","Silver","Black","None reported","Yes",9000
"Audi","TTS 2.0T Premium Plus","2012","72,922 mi.","Gasoline","265.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","6-Speed A/T","White","Black","None reported","No",25999
"BMW","650 Gran Coupe i xDrive","2015","41,000 mi.","Gasoline","445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel","8-Speed A/T","Black","Black","None reported","Yes",30000
"Subaru","Forester Premium","2021","42,125 mi.","Gasoline","2.5L H4 16V GDI DOHC","Automatic CVT","Crystal Black Silica","Black","None reported","Yes",27899
"Mercedes-Benz","AMG C AMG C 63","2016","62,000 mi.","Gasoline","469.0HP 4.0L 8 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Black","None reported","Yes",40000
"Land","Rover LR3 HSE","2006","153,843 mi.","Gasoline","300.0HP 4.4L 8 Cylinder Engine Gasoline Fuel","6-Speed A/T","Red","Beige","At least 1 accident or damage reported","Yes",9950
"BMW","X7 xDrive40i","2019","35,248 mi.","Gasoline","3.0 Liter Twin Turbo","Automatic","Arctic Gray Metallic","Black","None reported","No",53998
"Ford","Transit Connect XLT","2015","194,454 mi.","Gasoline","169.0HP 2.5L 4 Cylinder Engine Gasoline Fuel","6-Speed A/T","White","Black","None reported","Yes",9888
"Lexus","LX 570 Three-Row","2021","21,000 mi.","Gasoline","383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","White","Black","None reported","Yes",89999
"Porsche","911 Carrera S","2013","18,494 mi.","Gasoline","400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel","7-Speed M/T","Black","Black","None reported","No",86900
"Dodge","Ram 2500 Laramie Quad Cab","2006","218,000 mi.","Gasoline","330.0HP 5.7L 8 Cylinder Engine Gasoline Fuel","4-Speed A/T","Red","Gray","None reported","Yes",12990
"Nissan","Armada SL","2021","67,800 mi.","Gasoline","400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel","7-Speed A/T","Silver","Black","At least 1 accident or damage reported","Yes",36500
"Porsche","Cayman Base","2014","79,000 mi.","Gasoline","275.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Red","Black","At least 1 accident or damage reported","Yes",42999
"Mercedes-Benz","GLE 450 GLE 450","2022","24,906 mi.","Hybrid","3.0 Liter Turbo","Automatic","Selenite Grey Metallic","Black","None reported","No",63998
"Chevrolet","Monte Carlo SS","2006","66,840 mi.","Gasoline","303.0HP 5.3L 8 Cylinder Engine Gasoline Fuel","A/T","White","Gray","At least 1 accident or damage reported","Yes",12000
"BMW","M5 Base","2013","86,000 mi.","Gasoline","560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Blue","White","None reported","Yes",32000
"Hyundai","Kona N Base","2023","654 mi.","Gasoline","2.0L I4 16V GDI DOHC Turbo","8-Speed Automatic with Auto-Shift","Ultra Black","Black","None reported","Yes",34599
"Chevrolet","Monte Carlo SS","2005","75,000 mi.","Gasoline","240.0HP 3.8L V6 Cylinder Engine Gasoline Fuel","A/T","Black","Black","None reported","Yes",12500
"Land","Rover Range Rover Evoque Pure","2015","84,000 mi.","Gasoline","240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","9-Speed A/T","Beige","Black","At least 1 accident or damage reported","Yes",22800
"Audi","S7 4.0T Premium Plus","2017","52,500 mi.","Gasoline","450.0HP 4.0L 8 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Gray","Gray","None reported","Yes",39999
"GMC","Acadia SLT-1","2011","120,000 mi.","Gasoline","288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel","6-Speed A/T","Silver","Gray","None reported","Yes",7500
"Alfa","Romeo Stelvio Ti Sport","2020","18,665 mi.","Gasoline","2.0L I4 16V GDI SOHC Turbo","8-Speed Automatic","Lunare White Metallic","Ice","None reported","Yes",35645
"Ferrari","FF Base","2016","19,987 mi.","Gasoline","651.0HP 6.3L 12 Cylinder Engine Gasoline Fuel","7-Speed A/T","Black","Brown","None reported","Yes",149900
"Kia","K900 5.0L","2017","36,486 mi.","Gasoline","420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel","8-Speed A/T","Black","Beige","At least 1 accident or damage reported","Yes",23950
"Ford","E150 XLT","2013","162,100 mi.","E85 Flex Fuel","255.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability","4-Speed A/T","Black","Gray","None reported","Yes",12500
